CMDLINE /home/ioana/.pyenv/versions/3.10.0/envs/cw2/bin/python3.10 run_cv_model.py
MEM 899.292969 1710279313.0173
MEM 863.023438 1710279313.1183
MEM 887.019531 1710279313.2199
MEM 879.148438 1710279313.3215
MEM 895.019531 1710279313.4231
MEM 881.289062 1710279313.5247
MEM 877.164062 1710279313.6264
MEM 883.285156 1710279313.7281
MEM 895.019531 1710279313.8298
MEM 879.148438 1710279313.9309
MEM 895.019531 1710279314.0325
MEM 863.019531 1710279314.1341
MEM 879.394531 1710279314.2357
MEM 908.480469 1710279314.3368
MEM 863.019531 1710279314.4379
MEM 877.136719 1710279314.5390
MEM 887.609375 1710279314.6401
MEM 879.140625 1710279314.7411
MEM 887.019531 1710279314.8429
MEM 901.289062 1710279314.9446
MEM 908.480469 1710279315.0462
MEM 881.019531 1710279315.1478
MEM 879.121094 1710279315.2495
MEM 887.019531 1710279315.3510
MEM 875.093750 1710279315.4523
MEM 899.289062 1710279315.5539
MEM 877.140625 1710279315.6555
MEM 908.480469 1710279315.7567
MEM 877.289062 1710279315.8578
MEM 895.019531 1710279315.9592
MEM 877.292969 1710279316.0610
MEM 908.480469 1710279316.1621
MEM 879.019531 1710279316.2633
MEM 879.421875 1710279316.3650
MEM 871.046875 1710279316.4662
MEM 863.019531 1710279316.5678
MEM 863.023438 1710279316.6694
MEM 897.675781 1710279316.7707
MEM 877.136719 1710279316.8723
MEM 895.019531 1710279316.9738
MEM 899.292969 1710279317.0754
MEM 877.140625 1710279317.1770
MEM 887.019531 1710279317.2786
MEM 879.121094 1710279317.3802
MEM 887.019531 1710279317.4819
MEM 879.148438 1710279317.5834
MEM 895.019531 1710279317.6845
MEM 877.140625 1710279317.7856
